ProducedRate,n_prod,n_gen,process_type,pol,process_id,NbEvents,int.lumi(1/fb),Done %,ElogID(s),ProdIDs of DST and REC files,xsect_pb,xsect_error_pb,int_lumi_fb,energy_GeV,source_url
100.00%,33598600,33600000,e3e3h_dd,eL.pR,402721,100000,113517975,100.0,617,"DST=15816,15817;REC=15816",0.000880917752,1.0712e-06,113517976.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3684
100.00%,33598600,33600000,e3e3h_dd,eR.pL,402724,100000,177349535,100.0,617,"DST=15816,15817;REC=15816",0.000563858256,6.812e-07,177349536.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3705
100.00%,33598600,33600000,e3e3h_e2e2,eL.pR,402163,100000,27077682,100.0,386,"DST=15209,15210;REC=15209",0.00369307827,4.4908e-06,27077682.3,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3525
100.00%,33598600,33600000,e3e3h_e2e2,eR.pL,402172,100000,42303559,100.0,386,"DST=15209,15210;REC=15209",0.0023638673,2.8558e-06,42303559.1,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3526
100.00%,33598600,33600000,e3e3h_e3e3,eL.pR,402162,500000,470728,100.0,386,"DST=15209,15210;REC=15209",1.06218352,0.00129162,470728.448,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3527
100.00%,33598600,33600000,e3e3h_e3e3,eR.pL,402171,500000,735420,100.0,386,"DST=15209,15210;REC=15209",0.679882936,0.00082137,735420.722,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3528
100.00%,33598600,33600000,e3e3h_gg,eL.pR,402157,100000,72074,100.0,386,"DST=15209,15210;REC=15209",1.38744546,0.00168714,72074.9052,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3529
100.00%,33598600,33600000,e3e3h_gg,eR.pL,402166,100000,112602,100.0,386,"DST=15209,15210;REC=15209",0.888076753,0.00107289,112602.88,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3530
100.00%,33598600,33600000,e3e3h_ss,eL.pR,402719,100000,23995669,100.0,617,"DST=15816,15817;REC=15816",0.0041674186,5.0676e-06,23995669.6,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3720
100.00%,33598600,33600000,e3e3h_ss,eR.pL,402722,100000,37488519,100.0,617,"DST=15816,15817;REC=15816",0.00266748329,3.2226e-06,37488519.8,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3696
100.00%,33598600,33600000,e3e3h_uu,eL.pR,402720,100000,491911228,100.0,617,"DST=15816,15817;REC=15816",0.000203288712,2.472e-07,491911228.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3715
100.00%,33598600,33600000,e3e3h_uu,eR.pL,402723,100000,768514655,100.0,617,"DST=15816,15817;REC=15816",0.000130121136,1.572e-07,768514655.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3718
100.00%,33598600,33600000,e3e3h_ww,eL.pR,402158,500000,137919,100.0,386,"DST=15209,15210;REC=15209",3.62531536,0.0044084,137919.036,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3531
100.00%,33598600,33600000,e3e3h_ww,eR.pL,402167,500000,215471,100.0,386,"DST=15209,15210;REC=15209",2.32049359,0.0028034,215471.399,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3532
100.00%,33598600,33600000,e3e3h_zz,eL.pR,402159,500000,1126514,100.0,386,"DST=15209,15210;REC=15209",0.443847021,0.00053972,1126514.26,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3533
100.00%,33598600,33600000,e3e3h_zz,eR.pL,402168,500000,1759957,100.0,386,"DST=15209,15210;REC=15209",0.284097814,0.00034322,1759957.22,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3534
100.00%,33598600,33600000,n1n1h_aa,eL.pR,402178,100000,729945,100.0,383,"DST=15200,15201;REC=15200",0.136996525,0.00014074,729945.522,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3535
100.00%,33598600,33600000,n1n1h_aa,eR.pL,402187,100000,2052387,100.0,383,"DST=15200,15201;REC=15200",0.0487237454,6.6965e-05,2052387.38,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3536
100.00%,33598600,33600000,n1n1h_az,eL.pR,402179,100000,1082991,100.0,383,"DST=15200,15201;REC=15200",0.0923368648,9.486e-05,1082991.07,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3537
100.00%,33598600,33600000,n1n1h_az,eR.pL,402188,100000,3045045,100.0,383,"DST=15200,15201;REC=15200",0.0328402336,4.5135e-05,3045045.33,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3538
100.00%,33598600,33600000,n1n1h_bb,eL.pR,402173,100000,2847,100.0,383,"DST=15200,15201;REC=15200",35.1242191,0.036084,2847.03838,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3539
100.00%,33598600,33600000,n1n1h_bb,eR.pL,402182,100000,8005,100.0,383,"DST=15200,15201;REC=15200",12.4921673,0.017169,8005.01607,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3540
100.00%,33598600,33600000,n1n1h_cc,eL.pR,402174,100000,57334,100.0,383,"DST=15200,15201;REC=15200",1.74414078,0.0017918,57334.8213,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3541
100.00%,33598600,33600000,n1n1h_cc,eR.pL,402183,100000,161208,100.0,383,"DST=15200,15201;REC=15200",0.620315524,0.00085255,161208.282,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3542
100.00%,33598600,33600000,n1n1h_dd,eL.pR,402727,100000,31864929,100.0,617,"DST=15816,15817;REC=15816",0.00313824638,3.224e-06,31864929.6,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3717
100.00%,33598600,33600000,n1n1h_dd,eR.pL,402730,100000,89594602,100.0,617,"DST=15816,15817;REC=15816",0.00111613866,1.534e-06,89594602.9,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3695
100.00%,33598600,33600000,n1n1h_e2e2,eL.pR,402181,100000,7600808,100.0,383,"DST=15200,15201;REC=15200",0.0131564945,1.3516e-05,7600808.86,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3543
100.00%,33598600,33600000,n1n1h_e2e2,eR.pL,402190,100000,21371189,100.0,383,"DST=15200,15201;REC=15200",0.00467919669,6.431e-06,21371189.7,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3544
