process_type,pol,process_id,NbEvents,int.lumi(1/fb),xsect_pb,xsect_error_pb,implied_xsec_fb,xsect_pb_in_fb,diff_if_xsect_pb_used,diff_if_xsect_pb_in_fb,unit_check,nGenerated,nSelected,weight,process_group
6f_vvyyyy,eL.pR,402317,20000.0,1696480.0,0.011789115,5.11e-05,0.011789116287843064,11.789114999999999,1.2878430648288752e-09,11.777325883712155,xsect_pb seems to be in fb,2000.0,91.0,0.001473639375,Other multi-fermion
2f-lcfi_z_bb,eL.pR,500318,249600.0,31.0,7951.4427,3.15,8051.612903225807,7951442.699999999,100.1702032258072,7943391.087096773,xsect_pb seems to be in fb,10000.0,770.0,198.78606749999997,Two-fermion
2f-lcfi_z_cc,eL.pR,500314,250000.0,23.0,10759.111,4.47,10869.565217391304,10759111.0,110.45421739130325,10748241.43478261,xsect_pb seems to be in fb,10000.0,358.0,268.977775,Two-fermion
2f-lcfi_z_dd,eL.pR,500302,250000.0,31.0,7951.4427,3.15,8064.5161290322585,7951442.699999999,113.0734290322589,7943378.183870967,xsect_pb seems to be in fb,10000.0,146.0,198.78606749999997,Two-fermion
2f-lcfi_z_ss,eL.pR,500310,249600.0,31.0,7951.4427,3.15,8051.612903225807,7951442.699999999,100.1702032258072,7943391.087096773,xsect_pb seems to be in fb,10000.0,109.0,198.78606749999997,Two-fermion
2f-lcfi_z_uu,eL.pR,500306,250000.0,23.0,10759.111,4.47,10869.565217391304,10759111.0,110.45421739130325,10748241.43478261,xsect_pb seems to be in fb,10000.0,136.0,268.977775,Two-fermion
4f-lcfi_zz_bbbb,eL.pR,500338,125000.0,1767.0,70.723198,0.0608,70.74136955291455,70723.19799999999,0.01817155291455208,70652.45663044708,xsect_pb seems to be in fb,5600.0,862.0,3.1572856249999997,Four-fermion (single boson)
4f-lcfi_zz_cccc,eL.pR,500334,125000.0,2212.0,56.504134,0.05,56.50994575045208,56504.134,0.005811750452082265,56447.62405424954,xsect_pb seems to be in fb,2442.0,165.0,5.784616502866503,Four-fermion (single boson)
4f-lcfi_zz_dddd,eL.pR,500322,125000.0,1765.0,70.800256,0.0623,70.8215297450425,70800.25600000001,0.021273745042492465,70729.43447025497,xsect_pb seems to be in fb,6400.0,150.0,2.7656350000000005,Four-fermion (single boson)
4f-lcfi_zz_ssss,eL.pR,500330,125000.0,1765.0,70.800256,0.0623,70.8215297450425,70800.25600000001,0.021273745042492465,70729.43447025497,xsect_pb seems to be in fb,6400.0,122.0,2.7656350000000005,Four-fermion (single boson)
4f-lcfi_zz_uuuu,eL.pR,500326,125000.0,2213.0,56.476488,0.0489,56.48441030275644,56476.488000000005,0.007922302756433908,56420.00358969725,xsect_pb seems to be in fb,6400.0,138.0,2.2061128125000002,Four-fermion (single boson)
signal,eL.pR,signal,,,0.010535580000000001,0.05657534611945389,,,,,,2388.0,2315.0,0.0011029711055276384,Signal
