nCharged,nChargedNonMuon,nTracks,nTracksNonMuon,totalCharge,sumPtChargedNonMuon,nRecoTracks,visibleEnergy,visiblePx,visiblePy,visiblePz,visiblePt,invMass,recoilMass,totalEnergy,mu1_E,mu1_px,mu1_py,mu1_pz,mu1_pt,mu1_charge,mu2_E,mu2_px,mu2_py,mu2_pz,mu2_pt,mu2_charge,dimuon_px,dimuon_py,dimuon_pz,dimuon_pt,missingEnergy,missingPx,missingPy,missingPz,met,process_id,weight,process_type,process_group
2.0,0.0,2.0,0.0,0.0,0.0,2.0,106.47853,-49.7458,15.66036,9.590872,52.152576,92.335266,133.36617,106.47853,56.84532,-39.22916,-28.492064,29.67569,48.484272,-1.0,49.63321,-10.516639,44.152424,-20.084818,45.387623,1.0,-49.7458,15.66036,9.590872,52.152576,143.52147,49.7458,-15.66036,-9.590872,52.152576,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,110.658,43.744175,-33.34116,-29.137346,55.00169,90.65149,126.03092,109.6678,48.651997,45.071316,9.239477,15.817885,46.008602,1.0,61.0158,-1.126375,-41.719257,-44.510036,41.73446,-1.0,43.944942,-32.479782,-28.69215,54.64517,139.34201,-43.744175,33.34116,29.137346,55.00169,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,112.61841,13.056839,-54.71799,-0.11569834,56.254242,91.61803,131.6461,107.126335,80.88549,21.31635,-78.02508,-0.3781448,80.88448,-1.0,26.240845,-8.493276,24.290968,-5.1357193,25.732992,1.0,12.823075,-53.734108,-5.513864,55.242966,137.38159,-13.056839,54.71799,0.11569834,56.254242,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,110.06995,35.42767,-45.70701,-28.186054,57.829494,89.31231,124.2647,110.06995,78.40824,61.678955,-30.641613,-37.47841,68.87091,1.0,31.661703,-26.251286,-15.065396,9.292355,30.26708,-1.0,35.42767,-45.70701,-28.186054,57.829494,139.93005,-35.42767,45.70701,28.186054,57.829494,signal,0.0012192587939698495,signal,Signal
4.0,2.0,4.0,2.0,0.0,1.0830328e+09,4.0,111.182335,10.872822,-37.3865,-23.257093,38.935444,88.26348,140.15924,101.29166,67.67894,-10.005264,-60.31613,-29.022034,61.14034,-1.0,33.61272,23.888817,23.600954,-1.4542087,33.580956,1.0,13.883553,-36.71518,-30.476242,39.252483,138.81766,-10.872822,37.3865,23.257093,38.935444,signal,0.0012192587939698495,signal,Signal
4.0,2.0,4.0,2.0,0.0,1.0830029e+09,4.0,121.50839,-37.62052,29.441422,-20.458263,47.77134,93.77365,132.8576,107.28471,53.98133,-47.901047,-1.6658213,24.833021,47.930004,1.0,53.30338,8.108774,29.6419,-43.552685,30.731,-1.0,-39.792274,27.976078,-18.719664,48.64243,128.49161,37.62052,-29.441422,20.458263,47.77134,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,110.2587,2.4820576,-53.182117,-26.55466,53.240005,89.27135,129.82185,107.23132,51.07013,-17.508022,-41.29018,24.428032,44.848743,1.0,56.161194,19.398458,-11.60107,-51.411816,22.602766,-1.0,1.8904362,-52.89125,-26.983784,52.925022,139.7413,-2.4820576,53.182117,26.55466,53.240005,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,110.43536,37.772686,35.91221,33.19997,52.119694,91.52743,125.13827,110.43536,59.53359,51.554768,25.856426,-14.757374,57.675373,1.0,50.90178,-13.782083,10.055782,47.957344,17.060614,-1.0,37.772686,35.91221,33.19997,52.119694,139.56464,-37.772686,-35.91221,-33.19997,52.119694,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,110.85188,59.231422,16.798313,2.516503,61.567398,92.14804,124.76106,110.85188,65.580444,35.321842,55.230778,1.6441152,65.55968,-1.0,45.271435,23.909582,-38.432465,0.8723878,45.262814,1.0,59.231422,16.798313,2.516503,61.567398,139.14812,-59.231422,-16.798313,-2.516503,61.567398,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,111.09305,25.716549,-17.813303,-52.370728,31.283457,92.845665,124.795006,111.09305,83.15254,38.902977,-40.850887,-61.09082,56.411316,-1.0,27.940504,-13.186428,23.037584,8.720093,26.544533,1.0,25.716549,-17.813303,-52.370728,31.283457,138.90695,-25.716549,17.813303,52.370728,31.283457,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,117.89583,25.641464,-55.233902,-10.636116,60.895554,89.5669,125.39863,109.594826,76.169014,18.380663,-53.628407,-50.870857,56.69087,-1.0,33.42581,6.8693457,-1.3307294,32.68496,6.997053,1.0,25.250008,-54.959137,-18.185898,60.48198,132.10417,-25.641464,55.233902,10.636116,60.895554,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,111.400795,54.52895,-0.7918148,-30.913275,54.5347,92.089485,123.6126,111.400795,80.83586,65.28968,26.449217,-39.64989,70.44362,1.0,30.564932,-10.760731,-27.241032,8.736616,29.28937,-1.0,54.52895,-0.7918148,-30.913275,54.5347,138.59921,-54.52895,0.7918148,30.913275,54.5347,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,110.634186,-58.027855,38.569016,-6.1197424,69.6764,84.35724,125.25553,107.85439,85.641914,-66.810616,53.46012,3.5882542,85.5666,1.0,22.212477,10.923921,-16.660164,-9.822503,19.922176,-1.0,-55.886696,36.799957,-6.234249,66.914566,139.36581,58.027855,-38.569016,6.1197424,69.6764,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,105.404045,-7.282305,22.886997,-36.948353,24.017632,84.067894,155.88722,90.53317,59.745247,-24.280413,23.152788,-49.435665,33.549816,1.0,30.787924,16.90489,-0.5186985,25.726103,16.912846,-1.0,-7.3755226,22.63409,-23.709562,23.80547,144.59595,7.282305,-22.886997,36.948353,24.017632,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,107.3842,-44.978127,32.356285,-19.745186,55.407227,89.841705,129.92088,107.3842,62.94018,-58.727757,13.575689,18.116241,60.276436,-1.0,44.444016,13.749632,18.780596,-37.861427,23.275806,1.0,-44.978127,32.356285,-19.745186,55.407227,142.6158,44.978127,-32.356285,19.745186,55.407227,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,108.15875,-37.76695,-48.487934,-11.578316,61.46074,88.03992,127.71572,107.87944,59.363056,-36.05572,-13.623469,-45.14797,38.543663,1.0,48.516388,-1.5616958,-34.779728,33.789818,34.814774,-1.0,-37.617416,-48.4032,-11.3581505,61.302036,141.84125,37.76695,48.487934,11.578316,61.46074,signal,0.0012192587939698495,signal,Signal
3.0,1.0,3.0,1.0,1.0,1.0545454e+09,3.0,104.786865,11.939295,21.383053,42.78585,24.490442,89.861786,141.61197,101.04239,40.732876,-14.965834,35.590755,-12.979579,38.6093,-1.0,60.30951,26.802298,-14.133833,52.144886,30.300634,1.0,11.836464,21.456923,39.165306,24.50513,145.21313,-11.939295,-21.383053,-42.78585,24.490442,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,107.81525,38.40016,-37.396797,25.50177,53.60124,90.00386,129.20168,107.81525,46.395374,4.8411093,-38.16453,-25.933445,38.47035,-1.0,61.419872,33.55905,0.76773596,51.435215,33.567833,1.0,38.40016,-37.396797,25.50177,53.60124,142.18475,-38.40016,37.396797,-25.50177,53.60124,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,108.90595,-18.399736,39.883713,-40.51554,43.92335,84.2027,141.65106,99.05014,58.250977,-37.651657,43.490788,-9.168467,57.524742,-1.0,40.799164,25.6568,-10.931988,-29.778727,27.888702,1.0,-11.994858,32.5588,-38.947193,34.698013,141.09406,18.399736,-39.883713,40.51554,43.92335,signal,0.0012192587939698495,signal,Signal
