ProducedRate,n_prod,n_gen,process_type,pol,processID,NbEvents,int.lumi(1/fb),Done %,ElogID(s),ProdIDs of DST and REC files
97.49%,1759377800,1804700000,2f_z_l,eL.pR,500006,106489000,5019,100.0,"372,485,486","DST=15167,15168,15455,15457;REC=15167"
97.49%,1759377800,1804700000,2f_z_l,eR.pL,500008,81995000,5010,100.0,"369,487,488","DST=15158,15159,15459,15461;REC=15158"
99.95%,437421400,437620000,4f_sw_l,eL.pL,500117,70000,1101,100.0,342,"DST=15061,15062;REC=15061"
99.95%,437421400,437620000,4f_sw_l,eL.pR,500118,17499400,5113,100.0,362,"DST=15137,15138;REC=15137"
99.95%,437421400,437620000,4f_sw_l,eR.pL,500120,150000,5086,100.0,342,"DST=15061,15062;REC=15061"
99.95%,437421400,437620000,4f_sw_l,eR.pR,500119,70000,1102,100.0,342,"DST=15061,15062;REC=15061"
99.95%,437421400,437620000,4f_sw_sl,eL.pL,500105,200000,1049,100.0,343,"DST=15064,15065;REC=15064"
99.95%,437421400,437620000,4f_sw_sl,eL.pR,500106,51371800,5005,99.9,"375,416,446,447,448,449,450,451,452,453","DST=15176,15177,15307,15371,15373,15376,15378,1538015382,15384,15386;REC=15176"
99.95%,437421400,437620000,4f_sw_sl,eR.pL,500108,500000,5767,100.0,350,"DST=15101,15102;REC=15101"
99.95%,437421400,437620000,4f_sw_sl,eR.pR,500107,200000,1049,100.0,343,"DST=15064,15065;REC=15064"
99.95%,437421400,437620000,4f_sze_l,eL.pL,500113,6000000,1067,100.0,377,"DST=15182,15183;REC=15182"
99.95%,437421400,437620000,4f_sze_l,eL.pR,500114,28986800,5019,100.0,"378,414","DST=15185,15186,15295;REC=15185"
99.95%,437421400,437620000,4f_sze_l,eR.pL,500116,28494600,5020,100.0,"379,415","DST=15188,15189,15305;REC=15188"
99.95%,437421400,437620000,4f_sze_l,eR.pR,500115,6000000,1065,100.0,377,"DST=15182,15183;REC=15182"
99.95%,437421400,437620000,4f_sze_sl,eL.pL,500101,1200000,1038,100.0,366,"DST=15149,15150;REC=15149"
99.95%,437421400,437620000,4f_sze_sl,eL.pR,500102,7199600,5058,100.0,376,"DST=15179,15180;REC=15179"
99.95%,437421400,437620000,4f_sze_sl,eR.pL,500104,6100000,5002,100.0,367,"DST=15152,15153;REC=15152"
99.95%,437421400,437620000,4f_sze_sl,eR.pR,500103,1200000,1036,100.0,366,"DST=15149,15150;REC=15149"
99.95%,437421400,437620000,4f_szeorsw_l,eL.pL,500125,50000,1043,100.0,340,"DST=15056,15057;REC=15056"
99.95%,437421400,437620000,4f_szeorsw_l,eL.pR,500126,5000000,5079,100.0,363,"DST=15140,15141;REC=15140"
99.95%,437421400,437620000,4f_szeorsw_l,eR.pL,500128,150000,5133,100.0,340,"DST=15056,15057;REC=15056"
99.95%,437421400,437620000,4f_szeorsw_l,eR.pR,500127,50000,1043,100.0,340,"DST=15056,15057;REC=15056"
99.95%,437421400,437620000,4f_sznu_l,eL.pR,500122,1000000,5124,100.0,351,"DST=15107,15108;REC=15107"
99.95%,437421400,437620000,4f_sznu_l,eR.pL,500124,300000,7374,100.0,"344,390","DST=15068,15069,15229;REC=15068"
99.95%,437421400,437620000,4f_sznu_sl,eL.pR,500110,2298400,5064,99.9,364,"DST=15143,15144;REC=15143"
99.95%,437421400,437620000,4f_sznu_sl,eR.pL,500112,699200,5328,99.9,364,"DST=15143,15144;REC=15143"
